ANO,UF,Y,PEC,PGC,QE,TxF,D1,D2
2014,PE,"16722,05",3.30312634566386,4.0602462341532,148198,1600960,0,1
2015,PE,16796,3.22459060193866,4.36682187581971,278681,1572801,0,1
2016,PE,"17783,11",3.48340752599877,4.34272356750413,205720,1585154,0,1
2017,PE,"19170,74",3.44541452954691,4.2741786923682,208028,1640601,1,1
2018,PE,"19623,65",3.5420282588425,4.72659855828415,372305,1571751,1,1
2019,PE,"20702,3",3.49888217253047,4.482720792434,347934,1611420,1,1
2010,AL,"8693,92",3.49874086184348,4.85271094015873,76100,298598,0,0
2011,AL,"10071,1",3.70637409217212,4.63034575810711,53238,340363,0,0
2012,AL,"10946,36",3.51374025340211,4.27660017961234,39554,391520,0,0
2013,AL,"11294,54",3.53906048060649,4.20724666271479,34967,424995,0,0
2014,AL,"12335,44",3.49882120411756,4.15467086799905,35658,466572,0,0
2015,AL,13879,3.41650792497241,4.37556265469208,58705,466966,0,0
2016,AL,"14727,38",3.79001118000804,4.43892896497365,31762,476196,0,0
2017,AL,"15655,76",3.744560738024,4.51957200372357,35057,480201,1,0
2018,AL,"16375,56",3.8195092529344,4.99261968279705,77575,472021,1,0
2019,AL,"17667,79",3.67224618249393,4.69184232805376,73609,488598,1,0
2010,SE,"12768,13",3.43976036836226,4.64184037657446,39229,286524,0,0
2011,SE,"13928,61",3.63053266250805,4.46992709582398,25246,316073,0,0
2012,SE,"15563,83",3.54050899756678,4.25241686263311,21122,354878,0,0
2013,SE,"16093,55",3.60920551543532,4.20584457058679,20763,381431,0,0
2014,SE,"16882,71",3.46455099367252,4.06347819290305,21511,418156,0,0
2015,SE,17190,3.42396701436556,4.35656533162342,45478,422582,0,0
2016,SE,"17158,53",3.68542311613499,4.3206302116979,25192,415887,0,0
2017,SE,"17792,58",3.67204391600443,4.31347552454229,22413,417117,1,0
2018,SE,"18442,63",3.86497008965656,4.85127617640832,48436,404021,1,0
2019,SE,"19441,23",3.60890806204448,4.54894590249601,54119,417964,1,0
2010,BA,"11013,11",3.34367993136494,4.83144694873545,498360,1622258,0,0
2011,BA,"11817,87",3.43455510887236,4.51318996887951,254229,1766786,0,0
2012,BA,"12879,59",3.25945641350081,4.23251637985778,197612,1981059,0,0
2013,BA,"13616,22",3.26842601972805,4.22721932687518,245540,2115609,0,0
2014,BA,"14803,95",3.27392365439818,4.17443417906882,271187,2334848,0,0
2015,BA,16117,3.33296494263237,4.54815745518199,508119,2406477,0,0
2016,BA,"16936,99",3.53546982680531,4.43655284921997,306047,2424826,0,0
2017,BA,"17512,79",3.5173431458694,4.44006829601749,277357,2445286,1,0
2018,BA,"19324,04",3.72740267044557,4.95754443572512,501277,2361664,1,0
2019,BA,"19716,21",3.5693845507277,4.71848264280803,595000,2460183,1,0
2010,MG,"17918,75",3.29187322602589,4.47921295762797,838161,4264616,0,1
2011,MG,"20281,35",3.52604439033805,4.56977372248399,568765,4498054,0,1
2012,MG,"22275,27",3.2956849100041,4.35136582188661,524092,4826170,0,1
2013,MG,"23697,2",3.05218236668377,4.21570792261199,726896,5164254,0,1
2014,MG,"24917,12",3.04002121870448,4.11853751439078,749659,5510836,0,1
2015,MG,24885,2.99731049948258,4.36486730138549,1789938,5549386,0,1
2016,MG,"25946,37",3.18860241498257,4.36327578705663,1447289,5525844,0,1
2017,MG,"27291,11",3.20188436331661,4.47784033246484,1468582,5598218,1,1
2018,MG,"29223,22",3.36427833136192,5.13359365887967,2488315,5314535,1,1
2019,MG,"30794,04",3.11470395641011,4.83280409075865,3190915,5534312,1,1
2010,ES,"24286,44",3.62584546103833,4.78157000932425,85759,698255,0,0
2011,ES,"29877,24",3.89543675728117,4.70236181781213,55733,754765,0,0
2012,ES,"32657,46",3.80884636260719,4.38231550804581,47371,854937,0,0
2013,ES,"30545,24",3.62582629161587,4.21577927213211,41949,891083,0,0
2014,ES,"33148,56",3.60508410018378,4.15384626396885,42009,964340,0,0
2015,ES,30628,3.61843933948736,4.37644941825264,63513,961480,0,0
2016,ES,"27496,92",3.76330353955689,4.31971019379502,41294,976055,0,0
2017,ES,"28234,53",3.88039715226584,4.39180879146553,31059,959302,1,0
2018,ES,"34493,12",3.92193429736138,4.80698889017424,53055,946783,1,0
2019,ES,"34177,05",3.7264383737861,4.62315052097377,61911,976002,1,0
2010,RJ,"28127,41",3.33669530521502,4.71597820542039,746458,2389783,0,0
2011,RJ,"31823,88",3.67361214376008,4.64605596383351,531760,2652310,0,0
2012,RJ,"35418,15",3.45864292840223,4.41554160851626,435277,2775353,0,0
